n,deltaTime,Nitrogen Pressure,Pneumatic Circuit Pressure,Purge Circuit Pressure,Oxidizer Fill Pressure,Oxidizer Tank Pressure,Fuel Tank Pressure,Chamber Pressure 1,Igniter Temperature,Oxidizer Bulkhead Temperature,Fuel Bulkhead Temperature,Nitrogen Purge Valve,Oxidizer Fill Valve,GSE Oxidizer Dump Valve,Tank Oxidizer Dump Valve,Main Oxidizer Valve,Main Fuel Valve,Total Tank Mass,Thrust,System Clock,State
75.00,39.98,2269.66,101.80,509.20,817.12,6.80,31.56,5.71,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.74,31234.53,%sSafe
76.00,39.98,2269.27,101.80,509.20,817.12,6.80,31.63,5.71,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.73,31234.57,%sSafe
77.00,34.99,2269.27,101.41,510.03,817.58,6.79,31.63,5.71,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.73,31234.61,%sSafe
78.00,63.25,2269.27,101.41,510.03,817.58,6.79,31.85,6.62,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.73,31234.67,%sSafe
79.00,38.12,2268.59,101.35,510.22,817.42,6.79,31.79,5.83,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.70,31234.71,%sSafe
80.00,37.79,2268.59,101.35,510.22,817.42,6.79,31.79,5.83,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.68,31234.75,%sSafe
81.00,40.15,2269.20,101.35,510.22,817.42,6.79,31.79,5.83,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.68,31234.79,%sSafe
82.00,37.04,2269.20,102.06,509.58,817.35,6.79,31.79,5.83,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.68,31234.83,%sSafe
83.00,37.96,2269.20,102.06,509.58,817.35,6.72,32.32,6.07,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.69,31234.86,%sSafe
84.00,37.00,2269.16,102.06,509.58,817.35,6.72,32.32,6.07,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.29,-7.69,31234.90,%sSafe
85.00,71.14,2269.16,101.24,509.49,817.35,6.72,32.32,6.07,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.29,-7.69,31234.97,%sSafe
86.00,34.92,2269.16,101.24,509.49,817.62,6.80,31.65,5.81,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.29,-7.69,31235.01,%sSafe
87.00,86.26,2269.19,102.10,509.49,817.62,6.80,31.65,5.81,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.29,-7.69,31235.09,%sSafe
88.00,97.64,2269.19,102.10,509.19,817.41,7.01,32.56,6.32,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.29,-7.70,31235.19,%sSafe
89.00,63.00,2269.22,101.13,510.24,817.41,7.01,32.56,6.32,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.70,31235.25,%sSafe
90.00,37.07,2269.22,101.13,510.24,817.48,6.81,32.56,5.99,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.70,31235.29,%sSafe
91.00,36.93,2269.22,101.13,510.24,817.48,6.81,32.57,5.99,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.72,31235.33,%sSafe
92.00,128.90,2268.25,101.13,510.24,817.48,6.81,32.57,5.99,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.72,31235.46,%sSafe
93.00,34.75,2268.25,101.47,509.57,817.43,6.80,32.57,5.62,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.72,31235.49,%sSafe
94.00,73.56,2269.21,101.47,509.57,817.43,6.80,32.28,5.62,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.70,31235.56,%sSafe
95.00,35.60,2269.21,102.10,509.23,817.26,6.54,32.28,5.63,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.70,31235.60,%sSafe
96.00,73.48,2268.76,102.10,509.23,817.26,6.54,32.20,5.63,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.71,31235.67,%sSafe
97.00,35.66,2268.76,101.14,509.98,817.38,6.79,31.83,5.74,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.69,31235.71,%sSafe
98.00,78.28,2269.18,101.14,509.98,817.38,6.79,31.83,5.74,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.69,31235.79,%sSafe
99.00,35.05,2269.18,101.81,510.27,817.55,6.77,31.83,5.54,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.69,31235.82,%sSafe
100.00,78.53,2268.76,101.44,510.27,817.55,6.77,32.00,5.54,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.71,31235.90,%sSafe
101.00,36.83,2268.76,101.44,510.24,817.46,6.77,31.50,5.32,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.71,31235.94,%sSafe
102.00,51.57,2269.26,101.11,510.01,817.58,6.77,31.50,5.32,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.71,31235.99,%sSafe
103.00,37.04,2269.26,101.11,510.01,817.58,6.77,31.50,5.32,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.71,31236.03,%sSafe
104.00,74.04,2268.69,101.11,510.01,817.58,6.78,32.63,5.93,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.70,31236.10,%sSafe
105.00,67.67,2268.69,102.02,510.07,817.69,6.71,31.65,5.74,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.70,31236.17,%sSafe
106.00,48.05,2269.18,101.29,510.35,817.69,6.71,31.65,5.74,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.69,31236.22,%sSafe
