Logging,,Pressures (psi),,,,,,,Temperatures (K),,,Valves,,,,,,Force (kg),,Sequence,,,
n,deltaTime,Nitrogen Pressure,Pneumatic Circuit Pressure,Purge Circuit Pressure,Oxidizer Fill Pressure,Oxidizer Tank Pressure,Fuel Tank Pressure,Chamber Pressure 1,Igniter Temperature,Oxidizer Bulkhead Temperature,Fuel Bulkhead Temperature,Nitrogen Purge Valve,Oxidizer Fill Valve,GSE Oxidizer Dump Valve,Tank Oxidizer Dump Valve,Main Oxidizer Valve,Main Fuel Valve,Total Tank Mass,Thrust,System Clock (s),State,,
59,23.23,1724.27,107.63,549.66,819.6,7.52,5.26,11.73,0,0,0,0,0,0,1,0,0,2.35,0.11,11929.97,%sSafe,,
60,22.24,1724.43,107.71,549.66,819.6,7.52,5.26,11.73,0,0,0,0,0,0,1,0,0,2.35,0.11,11929.99,%sSafe,,
61,24.33,1724.43,107.71,549.63,819.57,7.37,5.26,11.73,0,0,0,0,0,0,1,0,0,2.35,0.11,11930.02,%sSafe,,
62,43.12,1724.43,107.71,549.63,819.57,7.37,5.26,11.73,0,0,0,0,0,0,1,0,0,2.35,0.11,11930.06,%sSafe,,
63,26.08,1724.43,107.71,549.63,819.57,7.37,5.05,11.64,0,0,0,0,0,0,1,0,0,2.35,0.11,11930.09,%sSafe,,
64,41.27,1724.43,107.71,549.63,819.57,7.37,5.05,11.64,0,0,0,0,0,0,1,0,0,2.35,0.11,11930.13,%sSafe,,
65,31.67,1724.42,107.71,549.63,819.57,7.37,5.05,11.64,0,0,0,0,0,0,1,0,0,2.36,0.11,11930.16,%sSafe,,
66,23.97,1724.42,107.71,549.63,819.57,7.37,5.05,11.64,0,0,0,0,0,0,1,0,0,2.36,0.11,11930.18,%sPre-ignition Purge,,
67,35.68,1724.42,107.78,549.58,819.61,7.37,5.05,11.64,0,0,0,0,0,0,1,0,0,2.36,0.11,11930.22,%sPre-ignition Purge,,
68,39.66,1724.42,107.78,549.58,819.61,7.24,5.05,11.64,0,0,0,0,0,0,1,100,100,2.36,0.11,11930.26,%sPre-ignition Purge,,
69,73.47,1724.42,107.78,549.58,819.61,7.24,4.82,11.49,0,0,0,0,0,0,1,100,100,2.36,0.11,11930.33,%sPre-ignition Purge,,
